# Batch 29 (agent B) — deepweb: public, unauthenticated searchable databases behind query forms and APIs
# (licence registers, court and tribunal records, procurement ledgers, debarment/sanctions lists, charity officers,
# adviser/broker registers, network registries, archive catalogues). Every row was fetched live while authoring;
# record counts quoted below are what the upstream reported at that time (Socrata count(*) or the API's own total).
# id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JO29B_DE_RII_BPATG|xml|any|legal|court-judgment|germany,bpatg,patent-court,ip,judgment,rss|https://www.rechtsprechung-im-internet.de|Rechtsprechung im Internet — Bundespatentgericht decisions feed|ドイツ連邦特許裁判所 判決フィード|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bpatg.xml|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bpatg.xml|Federal Patent Court (BPatG) feed of newly published patent, trademark and design decisions from the federal case-law portal.|array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;body_keys=description;interval=86400;pagination_ok=RSS window of the most recent decisions, no page parameter
JO29B_DE_RII_BVERFG|xml|any|legal|court-judgment|germany,bverfg,constitutional-court,judgment,rss|https://www.rechtsprechung-im-internet.de|Rechtsprechung im Internet — Bundesverfassungsgericht decisions feed|ドイツ連邦憲法裁判所 判決フィード|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bverfg.xml|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bverfg.xml|Federal Constitutional Court (BVerfG) feed of newly published decisions from the federal case-law portal.|array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;body_keys=description;interval=43200;pagination_ok=RSS window of the most recent decisions, no page parameter
JO29B_WELLCOME_CATALOGUE_WORKS|json|any|archive|catalogue-record|uk,wellcome,archive,catalogue,library,manuscripts|https://wellcomecollection.org|Wellcome Collection catalogue — works search|ウェルカム・コレクション 所蔵目録検索|https://api.wellcomecollection.org/catalogue/v2/works?query={q}&pageSize=100|https://api.wellcomecollection.org/catalogue/v2/works?query=espionage&pageSize=100|Public catalogue API over Wellcome Collection's library, archives and manuscripts: each work with id, title, work type, physical description, alternative titles and availability. The search genuinely filters (an impossible term returns totalResults 0).|array_path=results;title_keys=title;id_keys=id;page_param=page
JO29B_HARVARD_LIBRARYCLOUD_ITEMS|json|any|archive|catalogue-record|us,harvard,library,archive,mods,catalogue|https://library.harvard.edu|Harvard LibraryCloud — item search (MODS)|ハーバード大学図書館 LibraryCloud 検索|https://api.lib.harvard.edu/v2/items.json?q={q}&limit=100|https://api.lib.harvard.edu/v2/items.json?q=espionage&limit=100|Harvard Library's open metadata API over its catalogue and archival collections, returning full MODS records (title, names and roles, origin info, subjects, abstract, table of contents, identifiers, holding location). An impossible term returns items null.|array_path=items.mods;title_keys=titleInfo.title;id_keys=recordInfo.recordIdentifier.#text,recordInfo.recordIdentifier;page_param=start;page_size=100;page_zero_based=1
JO29B_NZ_CHARITY_OFFICERS|json|any|charity|charity-officer|newzealand,charities,officers,directors,banned,odata|https://www.charities.govt.nz|NZ Charities Register — officer search by name|ニュージーランド慈善団体登録 役員検索|https://www.odata.charities.govt.nz/Officers?$filter=substringof('{q}',FullName)&$top=100&$format=json|https://www.odata.charities.govt.nz/Officers?$filter=substringof('Smith',FullName)&$top=100&$format=json|Officers of registered New Zealand charities from the Charities Services OData feed: full name, position, appointment date, organisation id, status, and the statutory disqualification flags (banned director, undischarged bankrupt, convicted, subject to property order, prohibited from being a director).|array_path=d;title_keys=FullName;id_keys=OfficerId;date_keys=PositionAppointmentDate;page_param=$skip;page_size=100;page_zero_based=1
JO29B_360GIVING_GRANTS_RECEIVED|json|any|charity|grant-record|uk,360giving,grants,charity,funding|https://www.threesixtygiving.org|360Giving datastore — grants received by an organisation|360Giving 助成金受領記録|https://api.threesixtygiving.org/api/v1/org/{q}/grants_received/|https://api.threesixtygiving.org/api/v1/org/GB-CHC-1164021/grants_received/|Every grant in the 360Giving datastore whose recipient is the given org-id (GB-CHC-, GB-COH-, GB-GOR- etc.): grant id, title, amount, currency, award date, planned dates, grant programme, funder and recipient organisations and data licence. An unknown org id answers 404.|array_path=results;title_keys=data.title;id_keys=grant_id;date_keys=data.awardDate;next_path=next
JO29B_ARIN_ORG_NAME_SEARCH|json|any|network|registry-org|arin,whois,rws,organisation,asn,ip|https://www.arin.net|ARIN Whois-RWS — organisation name search|ARIN Whois 組織名検索|https://whois.arin.net/rest/orgs;name={q}*|https://whois.arin.net/rest/orgs;name=amazon*|ARIN's RESTful Whois organisation search by name prefix: each org reference with its ARIN handle, registered name and the RWS URL of the full org object (which lists its networks and ASNs). An impossible name answers 404.|array_path=orgs.orgRef;title_keys=@name;id_keys=@handle;link_keys=$;header1=Accept: application/json;pagination_ok=ARIN RWS returns at most 256 references per wildcard query and flags limitExceeded, there is no offset parameter
JO29B_UK_EA_PUBLIC_REGISTER_SEARCH|json|any|environment|registry-entry|uk,environment-agency,public-register,permit,waste-carrier|https://environment.data.gov.uk/public-register|Environment Agency public registers — holder name search|英国環境庁 公開登録簿 検索|https://environment.data.gov.uk/public-register/api/search.json?name-search={q}&_limit=500|https://environment.data.gov.uk/public-register/api/search.json?name-search=veolia&_limit=500|Cross-register search over England's Environment Agency public registers (observed hits from the Waste Carriers and Brokers register and the Environmental Permitting Regulations installations register; a veolia query returned 465 registrations): holder name, register, registration number and type, tier, site address, registration and expiry dates.|array_path=items;title_keys=holder.name;id_keys=@id;date_keys=registrationDate;page_param=_offset;page_size=500
JO29B_FR_DGTRESOR_ASSET_FREEZE_REGISTER|json|any|sanctions|sanctions-entry|france,dgtresor,asset-freeze,sanctions,gels-avoirs|https://gels-avoirs.dgtresor.gouv.fr|French Treasury national asset-freeze register (full JSON publication)|フランス財務省 資産凍結登録簿|https://gels-avoirs.dgtresor.gouv.fr/ApiPublic/api/v1/publication/derniere-publication-fichier-json|https://gels-avoirs.dgtresor.gouv.fr/ApiPublic/api/v1/publication/derniere-publication-fichier-json|The latest complete publication of the Direction générale du Trésor register of persons and entities subject to asset freezes (EU, UN and national measures), 6,578 entries at authoring time, each with register id, nature (natural person, legal entity, vessel), name and every detail block (aliases, dates of birth, nationality, legal basis, reasons).|array_path=Publications.PublicationDetail;title_keys=Nom;id_keys=IdRegistre;interval=86400;pagination_ok=single complete JSON publication of the whole register, no paging
JO29B_GOVUK_TRAFFIC_COMMISSIONER_DECISIONS|json|any|legal|regulatory-decision|uk,traffic-commissioner,operator-licence,hgv,psv,govuk|https://www.gov.uk/traffic-commissioner-regulatory-decisions|GOV.UK — traffic commissioner regulatory decisions|英国 交通監督官 規制決定|https://www.gov.uk/api/search.json?filter_format=traffic_commissioner_regulatory_decision&count=1000&order=-public_timestamp|https://www.gov.uk/api/search.json?filter_format=traffic_commissioner_regulatory_decision&count=1000&order=-public_timestamp|Decisions by the UK traffic commissioners on goods and passenger vehicle operator licences (revocations, suspensions, disqualifications of operators and transport managers), 206 documents in the GOV.UK finder.|array_path=results;title_keys=title;id_keys=link;date_keys=public_timestamp;body_keys=description;page_param=start;page_size=1000;page_zero_based=1;page_max=3;interval=86400
JO29B_GOVUK_SFO_CASES|json|any|legal|prosecution-case|uk,sfo,fraud,bribery,prosecution,govuk|https://www.gov.uk/sfo-cases|GOV.UK — Serious Fraud Office cases|英国 重大不正捜査局 事件|https://www.gov.uk/api/search.json?filter_format=sfo_case&count=1000&order=-public_timestamp|https://www.gov.uk/api/search.json?filter_format=sfo_case&count=1000&order=-public_timestamp|Case pages of the Serious Fraud Office (bribery, fraud and corruption investigations and prosecutions, deferred prosecution agreements) published in the GOV.UK finder.|array_path=results;title_keys=title;id_keys=link;date_keys=public_timestamp;body_keys=description;page_param=start;page_size=1000;page_zero_based=1;page_max=3;interval=86400
JO29B_GOVUK_UKIPO_DESIGN_DECISIONS|json|any|ip|ip-decision|uk,ukipo,design,intellectual-property,decision,govuk|https://www.gov.uk/design-decisions|GOV.UK — UK IPO registered design decisions|英国知的財産庁 意匠審決|https://www.gov.uk/api/search.json?filter_format=design_decision&count=1000&order=-public_timestamp|https://www.gov.uk/api/search.json?filter_format=design_decision&count=1000&order=-public_timestamp|Hearing officer decisions of the UK Intellectual Property Office on registered design invalidations and disputes, 135 documents in the GOV.UK finder.|array_path=results;title_keys=title;id_keys=link;date_keys=public_timestamp;body_keys=description;page_param=start;page_size=1000;page_zero_based=1;page_max=3;interval=604800
JO29B_GOVUK_LICENCE_FINDER|json|any|licensing|licence-type|uk,licence,permit,regulator,govuk|https://www.gov.uk/find-licences|GOV.UK — licence finder entries|英国 許認可ファインダー|https://www.gov.uk/api/search.json?filter_format=licence_transaction&count=1000&order=-public_timestamp|https://www.gov.uk/api/search.json?filter_format=licence_transaction&count=1000&order=-public_timestamp|453 licence and permit types (issued by councils and national regulators) indexed in the GOV.UK licence finder, each naming the licence, its issuing authority and the application route.|array_path=results;title_keys=title;id_keys=link;date_keys=public_timestamp;body_keys=description;page_param=start;page_size=1000;page_zero_based=1;page_max=3;interval=604800
